season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2019-2020,7,sektzia nes ziona,beitar jerusalem,820,6159,6979,A
2019-2020,7,hapoel raanana,hapoel haifa,376,594,970,D
2019-2020,7,ashdod fc,maccabi tel aviv,1200,3400,4600,A
2019-2020,7,maccabi haifa,bnei yehuda tel aviv,23839,438,24277,D
2019-2020,8,hapoel haifa,hapoel tel aviv,3522,2580,6102,H
2019-2020,8,ironi kiryat shmona,hapoel raanana,500,30,530,H
2019-2020,8,maccabi netanya,ashdod fc,4209,73,4282,A
2019-2020,8,hapoel kfar sava,maccabi haifa,1434,5580,7014,A
2019-2020,8,sektzia nes ziona,hapoel hadera,231,307,538,D
2019-2020,8,bnei yehuda tel aviv,beitar jerusalem,2706,6197,8903,A
2019-2020,8,maccabi tel aviv,hapoel beer sheva,22783,4783,27566,H
2019-2020,9,hapoel haifa,ironi kiryat shmona,3150,120,3270,H
2019-2020,9,hapoel raanana,maccabi tel aviv,400,6672,7072,A
2019-2020,9,hapoel hadera,bnei yehuda tel aviv,1000,389,1389,D
2019-2020,9,beitar jerusalem,hapoel kfar sava,9974,174,10148,H
2019-2020,9,ashdod fc,sektzia nes ziona,840,60,900,D
2019-2020,9,hapoel beer sheva,maccabi netanya,10968,307,11275,H
2019-2020,9,hapoel tel aviv,maccabi haifa,11422,7557,18979,A
2019-2020,10,ironi kiryat shmona,hapoel tel aviv,1673,1358,3031,A
2019-2020,10,sektzia nes ziona,hapoel beer sheva,462,3420,3882,H
2019-2020,10,maccabi netanya,hapoel raanana,5300,80,5380,H
2019-2020,10,maccabi tel aviv,hapoel haifa,21721,1404,23125,H
2019-2020,10,hapoel kfar sava,hapoel hadera,1181,196,1377,D
2019-2020,10,bnei yehuda tel aviv,ashdod fc,1114,110,1224,H
2019-2020,10,maccabi haifa,beitar jerusalem,26132,2900,29032,H
2019-2020,11,hapoel haifa,maccabi netanya,3650,1000,4650,A
2019-2020,11,hapoel raanana,sektzia nes ziona,437,180,617,D
2019-2020,11,ironi kiryat shmona,maccabi tel aviv,1412,2847,4259,A
2019-2020,11,ashdod fc,hapoel kfar sava,900,200,1100,D
2019-2020,11,hapoel beer sheva,bnei yehuda tel aviv,11419,221,11640,A
2019-2020,11,hapoel hadera,maccabi haifa,1766,6656,8422,A
2019-2020,11,hapoel tel aviv,beitar jerusalem,11655,7439,19094,A
2019-2020,12,bnei yehuda tel aviv,hapoel raanana,1213,222,1435,D
2019-2020,12,maccabi netanya,ironi kiryat shmona,4435,73,4508,H
2019-2020,12,hapoel kfar sava,hapoel beer sheva,884,1056,1940,A
2019-2020,12,sektzia nes ziona,hapoel haifa,156,339,495,A
2019-2020,12,beitar jerusalem,hapoel hadera,7345,105,7450,H
2019-2020,12,maccabi haifa,ashdod fc,16117,40,16157,D
2019-2020,12,hapoel tel aviv,maccabi tel aviv,14100,7700,21800,A
2019-2020,13,hapoel raanana,hapoel kfar sava,387,453,840,D
2019-2020,13,hapoel haifa,bnei yehuda tel aviv,2780,270,3050,H
2019-2020,13,ironi kiryat shmona,sektzia nes ziona,642,26,668,H
2019-2020,13,maccabi tel aviv,maccabi netanya,20157,1362,21519,D
2019-2020,13,hapoel hadera,hapoel tel aviv,937,1044,1981,A
2019-2020,13,ashdod fc,beitar jerusalem,800,2646,3446,D
2019-2020,13,hapoel beer sheva,maccabi haifa,12600,1900,14500,A
2019-2020,14,maccabi tel aviv,sektzia nes ziona,21015,172,21187,D
2019-2020,14,ironi kiryat shmona,bnei yehuda tel aviv,931,132,1063,H
2019-2020,14,hapoel haifa,hapoel kfar sava,2935,95,3030,A
2019-2020,14,hapoel raanana,maccabi haifa,1137,6782,7919,D
2019-2020,14,ashdod fc,hapoel hadera,810,80,890,A
2019-2020,14,maccabi netanya,hapoel tel aviv,4978,1550,6528,H
2019-2020,14,hapoel beer sheva,beitar jerusalem,13400,1900,15300,A
2019-2020,15,hapoel kfar sava,ironi kiryat shmona,535,180,715,A
2019-2020,15,hapoel hadera,hapoel beer sheva,344,778,1122,A
2019-2020,15,maccabi haifa,hapoel haifa,25988,2189,28177,H
2019-2020,15,bnei yehuda tel aviv,maccabi tel aviv,1550,4200,5750,A
2019-2020,15,sektzia nes ziona,maccabi netanya,171,826,997,H
2019-2020,15,hapoel tel aviv,ashdod fc,3076,356,3432,D
2019-2020,15,beitar jerusalem,hapoel raanana,4988,17,5005,H
2019-2020,16,maccabi tel aviv,hapoel kfar sava,9296,113,9409,H
2019-2020,16,ironi kiryat shmona,maccabi haifa,726,1523,2249,A
2019-2020,16,hapoel raanana,hapoel hadera,212,113,325,D
2019-2020,16,hapoel beer sheva,ashdod fc,9169,49,9218,H
2019-2020,16,maccabi netanya,bnei yehuda tel aviv,3925,136,4061,A
2019-2020,16,sektzia nes ziona,hapoel tel aviv,458,1833,2291,A
2019-2020,16,hapoel haifa,beitar jerusalem,2214,3942,6156,A
2019-2020,17,hapoel kfar sava,maccabi netanya,711,490,1201,A
2019-2020,17,hapoel hadera,hapoel haifa,594,176,770,H
2019-2020,17,beitar jerusalem,ironi kiryat shmona,5526,15,5541,D
2019-2020,17,ashdod fc,hapoel raanana,960,11,971,H
2019-2020,17,hapoel tel aviv,hapoel beer sheva,4050,500,4550,H
2019-2020,17,bnei yehuda tel aviv,sektzia nes ziona,576,114,690,A
2019-2020,17,maccabi haifa,maccabi tel aviv,25939,4132,30071,A
2019-2020,18,hapoel haifa,ashdod fc,1840,68,1908,H
2019-2020,18,hapoel raanana,hapoel beer sheva,479,1221,1700,H
2019-2020,18,ironi kiryat shmona,hapoel hadera,788,73,861,A
2019-2020,18,maccabi netanya,maccabi haifa,5436,3929,9365,A
2019-2020,18,sektzia nes ziona,hapoel kfar sava,251,334,585,A
2019-2020,18,bnei yehuda tel aviv,hapoel tel aviv,1200,3200,4400,A
2019-2020,18,maccabi tel aviv,beitar jerusalem,15248,5200,20448,D
2019-2020,19,ashdod fc,ironi kiryat shmona,535,15,550,H
2019-2020,19,maccabi haifa,sektzia nes ziona,18199,54,18253,H
2019-2020,19,hapoel hadera,maccabi tel aviv,1036,3500,4536,A
2019-2020,19,hapoel tel aviv,hapoel raanana,4356,75,4431,H
2019-2020,19,hapoel kfar sava,bnei yehuda tel aviv,716,196,912,A
2019-2020,19,hapoel beer sheva,hapoel haifa,8500,151,8651,H
2019-2020,19,beitar jerusalem,maccabi netanya,5532,147,5679,H
2019-2020,20,hapoel kfar sava,hapoel tel aviv,943,6500,7443,A
2019-2020,20,ironi kiryat shmona,hapoel beer sheva,922,254,1176,D
2019-2020,20,hapoel haifa,hapoel raanana,1890,30,1920,D
2019-2020,20,maccabi tel aviv,ashdod fc,15801,141,15942,H
2019-2020,20,maccabi netanya,hapoel hadera,3486,226,3712,H
2019-2020,20,beitar jerusalem,sektzia nes ziona,7750,11,7761,H
2019-2020,20,bnei yehuda tel aviv,maccabi haifa,1300,7400,8700,A
2019-2020,21,hapoel raanana,ironi kiryat shmona,290,91,381,D
2019-2020,21,hapoel beer sheva,maccabi tel aviv,11543,1655,13198,D
2019-2020,21,ashdod fc,maccabi netanya,756,642,1398,D
2019-2020,21,maccabi haifa,hapoel kfar sava,19802,177,19979,A
2019-2020,21,hapoel hadera,sektzia nes ziona,1250,30,1280,H
2019-2020,21,hapoel tel aviv,hapoel haifa,9897,449,10346,A
2019-2020,21,beitar jerusalem,bnei yehuda tel aviv,8989,172,9161,A
2019-2020,22,maccabi tel aviv,hapoel raanana,15262,200,15462,H
2019-2020,22,ironi kiryat shmona,hapoel haifa,476,123,599,A
2019-2020,22,sektzia nes ziona,ashdod fc,128,52,180,A
2019-2020,22,maccabi haifa,hapoel tel aviv,18959,2635,21594,H
2019-2020,22,bnei yehuda tel aviv,hapoel hadera,1239,122,1361,A
2019-2020,22,maccabi netanya,hapoel beer sheva,3919,683,4602,D
2019-2020,22,hapoel kfar sava,beitar jerusalem,1254,3577,4831,H
2019-2020,23,hapoel tel aviv,ironi kiryat shmona,6018,15,6033,H
2019-2020,23,hapoel raanana,maccabi netanya,559,584,1143,A
2019-2020,23,hapoel hadera,hapoel kfar sava,957,463,1420,H
2019-2020,23,hapoel haifa,maccabi tel aviv,2080,2363,4443,D
2019-2020,23,ashdod fc,bnei yehuda tel aviv,620,120,740,A
2019-2020,23,hapoel beer sheva,sektzia nes ziona,7198,23,7221,H
2019-2020,23,beitar jerusalem,maccabi haifa,11800,6200,18000,H
2019-2020,24,maccabi netanya,hapoel haifa,6429,1190,7619,D
2019-2020,24,bnei yehuda tel aviv,hapoel beer sheva,1800,2600,4400,A
2019-2020,24,hapoel kfar sava,ashdod fc,848,43,891,A
2019-2020,24,maccabi haifa,hapoel hadera,16944,413,17357,H
2019-2020,24,sektzia nes ziona,hapoel raanana,187,61,248,H
2019-2020,24,maccabi tel aviv,ironi kiryat shmona,15391,499,15890,H
2019-2020,24,beitar jerusalem,hapoel tel aviv,19519,1981,21500,A
2019-2020,25,ironi kiryat shmona,maccabi netanya,653,372,1025,H
2019-2020,25,ashdod fc,maccabi haifa,1700,3800,5500,A
2019-2020,25,hapoel haifa,sektzia nes ziona,2652,59,2711,H
2019-2020,25,hapoel hadera,beitar jerusalem,1282,2620,3902,A
2019-2020,25,hapoel raanana,bnei yehuda tel aviv,569,299,868,A
2019-2020,25,hapoel beer sheva,hapoel kfar sava,2326,371,2697,H
2019-2020,25,maccabi tel aviv,hapoel tel aviv,21346,4965,26311,H
2019-2020,26,hapoel kfar sava,hapoel raanana,1337,50,1387,H
2019-2020,26,maccabi netanya,maccabi tel aviv,2520,4083,6603,A
2019-2020,26,hapoel tel aviv,hapoel hadera,9802,471,10273,H
2019-2020,26,bnei yehuda tel aviv,hapoel haifa,1864,1119,2983,D
2019-2020,26,sektzia nes ziona,ironi kiryat shmona,249,136,385,H
2019-2020,26,beitar jerusalem,ashdod fc,4770,73,4843,H
2019-2020,26,maccabi haifa,hapoel beer sheva,10210,826,11036,H
