season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2016-2017,17,hapoel ashqelon,beitar jerusalem,0,0,0,D
2016-2017,17,maccabi tel aviv,hapoel raanana,0,0,0,H
2016-2017,17,hapoel beer sheva,maccabi haifa,0,0,0,H
2016-2017,17,ironi kiryat shmona,hapoel tel aviv,0,0,0,H
2016-2017,17,maccabi petah tikva,bnei sakhnin,0,0,0,D
2016-2017,17,bnei yehuda tel aviv,hapoel kfar sava,0,0,0,D
2016-2017,18,ashdod fc,hapoel kfar sava,550,110,660,D
2016-2017,18,hapoel raanana,hapoel ashqelon,470,93,563,A
2016-2017,18,maccabi haifa,maccabi petah tikva,13514,109,13623,A
2016-2017,18,hapoel beer sheva,bnei yehuda tel aviv,13380,170,13550,H
2016-2017,18,beitar jerusalem,hapoel haifa,3460,40,3500,H
2016-2017,18,bnei sakhnin,ironi kiryat shmona,3000,100,3100,H
2016-2017,18,hapoel tel aviv,maccabi tel aviv,6200,1100,7300,A
2016-2017,19,ironi kiryat shmona,maccabi haifa,1000,1500,2500,H
2016-2017,19,hapoel haifa,hapoel raanana,2000,50,2050,H
2016-2017,19,hapoel ashqelon,hapoel tel aviv,1970,1940,3910,A
2016-2017,19,maccabi petah tikva,hapoel beer sheva,1800,5000,6800,D
2016-2017,19,bnei yehuda tel aviv,ashdod fc,1910,90,2000,H
2016-2017,19,hapoel kfar sava,beitar jerusalem,1240,1650,2890,A
2016-2017,19,maccabi tel aviv,bnei sakhnin,8274,1100,9374,H
2016-2017,20,maccabi petah tikva,bnei yehuda tel aviv,1000,500,1500,H
2016-2017,20,hapoel raanana,hapoel kfar sava,390,260,650,H
2016-2017,20,hapoel beer sheva,ironi kiryat shmona,13110,50,13160,H
2016-2017,20,beitar jerusalem,ashdod fc,2200,72,2272,D
2016-2017,20,bnei sakhnin,hapoel ashqelon,1700,50,1750,H
2016-2017,20,hapoel tel aviv,hapoel haifa,4800,550,5350,D
2016-2017,20,maccabi haifa,maccabi tel aviv,22824,2800,25624,D
2016-2017,21,ironi kiryat shmona,maccabi petah tikva,684,136,820,A
2016-2017,21,hapoel haifa,bnei sakhnin,2800,1300,4100,A
2016-2017,21,bnei yehuda tel aviv,beitar jerusalem,2200,3400,5600,D
